ticker,date,close,open,low,high,volume
SPY,18-Sep-07,152.46,148.83,148.13,152.5,"263,759,497"
SPY,17-Sep-07,148.1,148.31,147.63,148.89,"109,870,775"
SPY,14-Sep-07,148.9,147.96,147.74,149.09,"121,910,941"
SPY,13-Sep-07,148.91,148.55,148.2,149.45,"154,078,942"
SPY,12-Sep-07,147.87,147.29,146.98,148.44,"149,591,913"
SPY,11-Sep-07,147.49,146.24,146.13,147.7,"162,081,875"
SPY,10-Sep-07,145.79,146.52,144.33,146.72,"192,374,772"
SPY,7-Sep-07,146.07,146.48,145.26,146.89,"235,447,578"
SPY,6-Sep-07,148.13,147.95,147.12,148.61,"127,878,356"
SPY,5-Sep-07,147.79,148.2,147,148.36,"166,261,708"
SPY,4-Sep-07,149.08,147.45,147.4,149.98,"120,061,971"
SPY,31-Aug-07,147.59,147.65,146.83,148.5,"185,477,406"
SPY,30-Aug-07,146.15,145.45,145.31,147.19,"191,817,206"
SPY,29-Aug-07,146.54,144.37,143.96,146.74,"207,654,197"
SPY,28-Aug-07,143.72,146.16,143.46,146.25,"219,790,628"
SPY,27-Aug-07,146.95,147.85,146.73,148.33,"113,024,247"
SPY,24-Aug-07,148.33,146.48,146.28,148.33,"128,901,846"
SPY,23-Aug-07,146.52,147.34,145.61,147.65,"203,915,272"
SPY,22-Aug-07,146.65,146.01,145.33,146.8,"173,156,672"
SPY,21-Aug-07,144.93,144.6,144.14,145.97,"157,066,342"
SPY,20-Aug-07,144.64,145.17,143.29,145.47,"187,320,336"
SPY,17-Aug-07,144.71,145.5,141.39,145.9,"388,218,015"
SPY,16-Aug-07,142.1,139.79,137,142.94,"546,743,619"
SPY,15-Aug-07,141.04,142.72,140.62,144.46,"323,833,925"
SPY,14-Aug-07,143.01,145.7,142.72,146.06,"264,134,492"
SPY,13-Aug-07,145.23,146.5,145.02,146.89,"181,987,405"
SPY,10-Aug-07,144.71,144.39,143.12,146.5,"411,018,374"
SPY,9-Aug-07,145.39,147.43,145.29,149.9,"358,182,347"
SPY,8-Aug-07,149.83,148.41,147.34,150.59,"274,930,582"
SPY,7-Aug-07,147.77,145.94,145.23,149,"280,693,465"
SPY,6-Aug-07,146.21,144.21,142.53,146.83,"324,979,665"
SPY,3-Aug-07,143.8,147.28,143.2,147.58,"359,398,213"
SPY,2-Aug-07,147.6,146.76,145.26,147.76,"294,758,353"
SPY,1-Aug-07,146.43,145.18,143.95,147.01,"467,669,944"
SPY,31-Jul-07,145.72,148.33,145.04,149.46,"316,976,706"
SPY,30-Jul-07,147.38,145.93,145.29,147.81,"283,017,522"
SPY,27-Jul-07,145.11,148.21,145.05,148.87,"422,987,635"
SPY,26-Jul-07,148.02,150.19,146.39,150.8,"467,592,493"
SPY,25-Jul-07,151.61,152.02,150.25,152.39,"265,214,482"
SPY,24-Jul-07,151.3,153.12,150.76,154.28,"256,875,406"
SPY,23-Jul-07,153.97,154.18,153.3,154.72,"121,183,836"
SPY,20-Jul-07,153.5,154.89,152.29,155.25,"245,504,494"
SPY,19-Jul-07,155.07,155.2,154.75,155.53,"145,249,637"
SPY,18-Jul-07,154.47,154.23,153.3,154.8,"237,889,754"
SPY,17-Jul-07,154.75,154.93,154.68,156,"126,201,238"
SPY,16-Jul-07,154.83,154.99,154.58,155.53,"98,382,696"
SPY,13-Jul-07,154.85,154.57,154.39,155.46,"111,794,261"
SPY,12-Jul-07,154.39,152.37,152.34,154.75,"133,882,744"
SPY,11-Jul-07,151.99,150.75,150.52,152.05,"175,608,117"
SPY,10-Jul-07,150.92,152.29,150.77,152.61,"180,362,556"
SPY,9-Jul-07,153,153.16,152.62,153.36,"72,348,059"
SPY,6-Jul-07,152.98,152.38,151.93,153.17,"81,108,856"
SPY,5-Jul-07,152.18,152.4,151.63,152.56,"89,278,638"
SPY,3-Jul-07,152.34,152.18,151.99,152.5,"54,048,392"
SPY,2-Jul-07,151.79,150.87,150.77,151.92,"103,357,331"
SPY,29-Jun-07,150.43,150.9,149.15,151.65,"199,701,731"
SPY,28-Jun-07,150.38,150.38,149.67,151.41,"157,704,908"
SPY,27-Jun-07,150.4,148.13,148.06,150.57,"213,637,766"
SPY,26-Jun-07,148.29,150.21,148.28,150.46,"198,445,634"
SPY,25-Jun-07,149.83,150.24,149.02,151.25,"232,071,665"
SPY,22-Jun-07,150.55,151.52,149.85,151.77,"205,158,931"
SPY,21-Jun-07,151.98,151.08,150.25,152.11,"205,276,467"
SPY,20-Jun-07,151.14,153.58,150.96,153.58,"177,247,940"
SPY,19-Jun-07,153.27,152.55,152.36,153.38,"111,130,055"
SPY,18-Jun-07,152.89,153.38,152.66,153.39,"88,637,361"
SPY,15-Jun-07,153.07,153.14,152.93,153.66,"154,433,068"
SPY,14-Jun-07,152.86,152.06,152.03,153.12,"146,777,231"
SPY,13-Jun-07,151.89,150.5,149.72,152.07,"193,259,036"
SPY,12-Jun-07,149.65,150.67,149.55,151.54,"235,777,476"
SPY,11-Jun-07,151.3,150.93,150.7,151.95,"102,540,269"
SPY,8-Jun-07,151.04,149.5,149.09,151.19,"176,989,611"
SPY,7-Jun-07,149.1,151.56,149.06,152.5,"232,536,760"
SPY,6-Jun-07,151.84,152.91,151.75,152.95,"164,156,415"
SPY,5-Jun-07,153.49,153.74,152.86,153.9,"127,966,653"
SPY,4-Jun-07,154.1,153.54,153.48,154.39,"78,077,762"
SPY,1-Jun-07,154.08,153.88,153.51,154.4,"107,816,219"
SPY,31-May-07,153.32,153.66,153.12,153.89,"115,780,217"
SPY,30-May-07,153.48,151.46,151.34,153.54,"131,293,868"
SPY,29-May-07,152.24,151.94,151.45,152.5,"83,961,894"
SPY,25-May-07,151.69,151.49,151.18,152.02,"83,309,621"
SPY,24-May-07,151.06,152.53,150.74,153.21,"187,777,507"
SPY,23-May-07,152.44,152.95,152.36,153.5,"133,961,926"
SPY,22-May-07,152.42,152.7,152.38,153.16,"82,284,087"
SPY,21-May-07,152.54,152.58,152.5,153.23,"174,709,147"
SPY,18-May-07,152.62,152.01,151.81,152.62,"99,187,841"
SPY,17-May-07,151.3,151.38,151.11,151.96,"101,569,226"
SPY,16-May-07,151.6,150.8,150.38,151.63,"114,674,127"
SPY,15-May-07,150.57,150.7,150.19,151.67,"180,954,808"
SPY,14-May-07,150.53,150.86,149.79,151.3,"108,065,801"
SPY,11-May-07,150.86,149.75,149.72,150.93,"113,415,741"
SPY,10-May-07,149.58,150.73,149.27,151.02,"153,702,478"
SPY,9-May-07,151.16,150.64,150.37,152.82,"102,950,775"
SPY,8-May-07,150.75,150.58,150.13,150.92,"81,538,936"
SPY,7-May-07,150.95,150.88,150.81,151.2,"63,691,549"
SPY,4-May-07,150.92,150.75,150.22,151.12,"96,424,729"
SPY,3-May-07,150.35,149.97,149.05,150.4,"87,865,741"
SPY,2-May-07,149.54,148.9,148.75,149.95,"87,183,213"
SPY,1-May-07,148.67,148.42,147.67,149.47,"134,447,334"
SPY,30-Apr-07,148.29,149.64,148.21,149.74,"101,022,774"
SPY,27-Apr-07,149.53,149.09,148.84,149.74,"108,197,354"
SPY,26-Apr-07,149.65,149.49,149.1,149.8,"88,758,255"
SPY,25-Apr-07,149.48,148.73,148.02,149.66,"109,171,934"
SPY,24-Apr-07,148.12,148.23,147.32,148.4,"114,476,697"
SPY,23-Apr-07,148.06,148.37,147.97,148.73,"77,586,137"
SPY,20-Apr-07,148.62,148.22,147.04,148.62,"124,129,435"
SPY,19-Apr-07,147.23,146.55,146.36,147.4,"103,366,536"
SPY,18-Apr-07,147.27,146.6,146.57,147.7,"88,354,163"
SPY,17-Apr-07,147.09,146.97,146.65,147.4,"108,445,673"
SPY,16-Apr-07,146.7,145.83,145.82,146.86,"83,212,818"
SPY,13-Apr-07,145.32,144.9,144.36,145.32,"85,181,640"
SPY,12-Apr-07,144.66,143.74,143.34,144.92,"116,464,748"
SPY,11-Apr-07,144.02,144.82,143.54,144.86,"106,555,131"
SPY,10-Apr-07,144.61,144.33,144.27,144.85,"56,641,366"
SPY,9-Apr-07,144.44,144.65,144.15,144.8,"51,153,140"
SPY,5-Apr-07,144.24,143.67,143.61,144.44,"46,871,640"
SPY,4-Apr-07,143.85,143.69,143.16,143.95,"64,019,623"
SPY,3-Apr-07,143.69,142.97,142.91,143.98,"82,515,208"
SPY,2-Apr-07,142.16,142.16,140.89,142.46,"79,454,680"
SPY,30-Mar-07,142,142.24,140.56,142.84,"128,208,880"
SPY,29-Mar-07,141.97,142.54,141.19,142.61,"139,505,747"
SPY,28-Mar-07,141.82,142.14,141.26,142.47,"152,970,587"
SPY,27-Mar-07,142.86,143.12,142.39,143.16,"100,592,590"
SPY,26-Mar-07,143.2,143.5,142.09,143.65,"113,814,330"
SPY,23-Mar-07,143.39,143.28,143.15,143.81,"74,431,674"
SPY,22-Mar-07,143.18,143.48,142.79,143.68,"119,002,202"
SPY,21-Mar-07,143.29,141.1,140.82,143.65,"153,436,549"
SPY,20-Mar-07,140.97,140.08,139.96,141.05,"83,364,744"
SPY,19-Mar-07,140.2,139.26,138.55,140.33,"96,219,354"
SPY,16-Mar-07,138.53,139.31,138.12,139.63,"122,073,808"
SPY,15-Mar-07,139.47,138.97,138.8,139.99,"132,435,812"
SPY,14-Mar-07,139.28,138.43,136.75,139.36,"231,853,900"
SPY,13-Mar-07,138.25,140.18,138.04,140.77,"190,605,200"
SPY,12-Mar-07,140.99,140.42,140.16,141.34,"80,384,200"
SPY,9-Mar-07,140.78,141.31,140.08,141.42,"107,772,800"
SPY,8-Mar-07,140.74,140.54,140.07,141.16,"117,903,266"
SPY,7-Mar-07,139.56,139.59,139.4,140.46,"115,253,500"
SPY,6-Mar-07,139.7,138.78,137.72,140.12,"143,447,200"
SPY,5-Mar-07,137.35,137.93,137.33,139.58,"144,649,801"
SPY,2-Mar-07,138.67,140.05,138.66,140.66,"162,612,800"
SPY,1-Mar-07,140.51,139.34,138.05,141.25,"212,853,496"
SPY,28-Feb-07,140.93,140.39,139.8,141.98,"177,574,000"
SPY,27-Feb-07,139.5,143.88,139,144.2,"274,953,900"
SPY,26-Feb-07,145.17,145.83,144.75,145.95,"70,096,062"
SPY,23-Feb-07,145.3,145.74,144.75,145.79,"71,988,900"
SPY,22-Feb-07,145.87,146.05,145.17,146.42,"79,081,900"
SPY,21-Feb-07,145.98,145.61,145.35,146.07,"63,994,800"
SPY,20-Feb-07,146.04,145.56,144.06,146.2,"56,924,500"
SPY,16-Feb-07,145.73,145.44,145.23,145.76,"39,843,500"
SPY,15-Feb-07,145.8,145.67,145.43,145.95,"38,727,300"
SPY,14-Feb-07,145.61,144.8,144.78,145.9,"66,062,345"
SPY,13-Feb-07,144.66,143.77,143.76,144.9,"64,113,480"
